REFERENCE;CURRENCY;PRICE;COUNTRY
107.509;EUR;34.52;FR
107.522;EUR;108.99;FR
107.533;EUR;242.55;FR
107.704;EUR;104.91;FR
107.794;EUR;4.41;FR
107.806;EUR;4.41;FR
107.817;EUR;4.41;FR
107.828;EUR;4.14;FR
108.252;EUR;77.01;FR
108.514;EUR;7.10;FR
108.638;EUR;9.32;FR
108.651;EUR;3.06;FR
108.673;EUR;34.81;FR
109.095;EUR;11.17;FR
109.357;EUR;5.32;FR
109.437;EUR;4.63;FR
109.654;EUR;946.31;FR
109.698;EUR;42.14;FR
109.756;EUR;4.99;FR
109.778;EUR;41.13;FR
110.682;EUR;2.69;FR
110.705;EUR;1.83;FR
111.082;EUR;32.73;FR
111.116;EUR;34.99;FR
111.127;EUR;55.69;FR
111.526;EUR;15.14;FR
111.594;EUR;16.15;FR
111.696;EUR;7.50;FR
111.732;EUR;52.69;FR
111.743;EUR;2.39;FR
111.787;EUR;7.97;FR
111.856;EUR;145.93;FR
111.867;EUR;139.99;FR
112.052;EUR;36.47;FR
112.201;EUR;189.18;FR
112.212;EUR;230.82;FR
112.291;EUR;754.67;FR
112.314;EUR;25.24;FR
112.358;EUR;81.09;FR
113.237;EUR;23.79;FR
113.248;EUR;24.13;FR
113.432;EUR;1.08;FR
113.465;EUR;16.71;FR
113.556;EUR;1.88;FR
113.578;EUR;11.39;FR
113.589;EUR;5.34;FR
113.614;EUR;37.01;FR
114.207;EUR;215.29;FR
114.286;EUR;12.03;FR
114.286;EUR;12.03;FR
114.297;EUR;12.03;FR
114.297;EUR;12.03;FR
114.309;EUR;12.03;FR
114.309;EUR;12.03;FR
114.311;EUR;12.03;FR
114.311;EUR;12.03;FR
114.322;EUR;12.03;FR
114.322;EUR;12.03;FR
114.399;EUR;13.31;FR
114.776;EUR;57.53;FR
115.575;EUR;25.86;FR
115.597;EUR;43.38;FR
115.611;EUR;26.72;FR
115.622;EUR;26.72;FR
115.633;EUR;26.72;FR
115.644;EUR;26.72;FR
115.655;EUR;31.08;FR
115.837;EUR;13.94;FR
115.848;EUR;6.48;FR
116.408;EUR;5.75;FR
116.419;EUR;5.75;FR
116.421;EUR;5.75;FR
116.432;EUR;5.75;FR
117.207;EUR;42.12;FR
117.229;EUR;568.59;FR
117.297;EUR;30.51;FR
117.309;EUR;53.16;FR
118.143;EUR;7.76;FR
118.143;EUR;7.76;FR
118.531;EUR;48.15;FR
118.542;EUR;42.69;FR
118.597;EUR;48.20;FR
118.872;EUR;17.68;FR
119.099;EUR;18.99;FR
119.157;EUR;18.99;FR
119.168;EUR;18.99;FR
119.179;EUR;8.58;FR
119.181;EUR;18.99;FR
119.192;EUR;18.99;FR
119.204;EUR;18.99;FR
119.226;EUR;12.44;FR
119.237;EUR;4.99;FR
119.248;EUR;5.35;FR
119.363;EUR;7.30;FR
119.374;EUR;10.74;FR
119.432;EUR;10.23;FR
119.578;EUR;307.95;FR
119.591;EUR;28.10;FR
119.603;EUR;21.41;FR
119.669;EUR;33.50;FR
119.671;EUR;33.50;FR
119.705;EUR;33.50;FR
119.727;EUR;33.50;FR
119.842;EUR;85.49;FR
119.864;EUR;46.02;FR
119.897;EUR;64.49;FR
119.909;EUR;28.75;FR
119.911;EUR;19.99;FR
120.061;EUR;7.61;FR
120.072;EUR;4.54;FR
120.083;EUR;7.69;FR
120.163;EUR;10.79;FR
120.254;EUR;17.29;FR
120.265;EUR;4.93;FR
120.298;EUR;5.50;FR
120.301;EUR;22.55;FR
120.323;EUR;22.55;FR
120.356;EUR;145.18;FR
120.367;EUR;8.74;FR
120.391;EUR;8.15;FR
120.469;EUR;6.05;FR
120.471;EUR;168.86;FR
120.493;EUR;7.82;FR
120.516;EUR;142.74;FR
120.551;EUR;196.30;FR
120.631;EUR;19.08;FR
120.642;EUR;28.90;FR
120.697;EUR;40.21;FR
120.799;EUR;80.96;FR
120.802;EUR;185.48;FR
120.813;EUR;67.05;FR
120.835;EUR;142.95;FR
120.926;EUR;921.75;FR
120.959;EUR;11.04;FR
120.961;EUR;44.99;FR
120.983;EUR;10.76;FR
120.994;EUR;10.98;FR
121.007;EUR;13.06;FR
121.031;EUR;15.64;FR
121.144;EUR;256.59;FR
121.155;EUR;13.45;FR
121.166;EUR;13.45;FR
121.199;EUR;377.70;FR
121.601;EUR;22.79;FR
121.623;EUR;24.42;FR
121.725;EUR;12.30;FR
121.736;EUR;12.30;FR
121.827;EUR;9.85;FR
121.838;EUR;9.85;FR
121.931;EUR;8.75;FR
121.975;EUR;189.16;FR
121.986;EUR;102.48;FR
121.997;EUR;123.48;FR
122.001;EUR;198.95;FR
122.056;EUR;94.64;FR
122.284;EUR;13.42;FR
122.295;EUR;0.35;FR
122.318;EUR;13.42;FR
122.331;EUR;13.42;FR
122.386;EUR;13.42;FR
122.397;EUR;0.32;FR
122.455;EUR;161.65;FR
122.466;EUR;0.35;FR
122.502;EUR;112.68;FR
122.579;EUR;33.63;FR
122.581;EUR;21.45;FR
122.626;EUR;6.39;FR
122.659;EUR;3.91;FR
122.661;EUR;2.34;FR
122.843;EUR;2.99;FR
122.887;EUR;212.49;FR
122.898;EUR;145.50;FR
122.898;EUR;145.50;FR
122.923;EUR;181.24;FR
122.978;EUR;89.58;FR
123.083;EUR;3.01;FR
123.094;EUR;4.49;FR
123.106;EUR;7.50;FR
123.117;EUR;2.15;FR
123.128;EUR;3.18;FR
123.139;EUR;5.26;FR
123.196;EUR;4.99;FR
123.208;EUR;3.22;FR
123.219;EUR;3.22;FR
123.254;EUR;4.99;FR
123.469;EUR;41.98;FR
123.471;EUR;41.66;FR
123.618;EUR;14.21;FR
123.629;EUR;5.99;FR
123.686;EUR;5.99;FR
123.697;EUR;5.99;FR
123.722;EUR;7.98;FR
123.777;EUR;7.49;FR
123.802;EUR;18.89;FR
123.835;EUR;6.72;FR
123.879;EUR;55.40;FR
123.926;EUR;208.91;FR
123.948;EUR;48.75;FR
124.007;EUR;176.61;FR
124.018;EUR;47.36;FR
124.042;EUR;19.67;FR
124.177;EUR;9.21;FR
124.177;EUR;9.21;FR
124.246;EUR;9.21;FR
124.246;EUR;9.21;FR
124.279;EUR;10.30;FR
124.292;EUR;104.98;FR
124.348;EUR;7.10;FR
124.394;EUR;157.48;FR
124.406;EUR;2.90;FR
124.417;EUR;7.98;FR
124.441;EUR;9.13;FR
124.474;EUR;5.95;FR
124.521;EUR;0.49;FR
124.587;EUR;0.49;FR
124.601;EUR;27.24;FR
124.656;EUR;26.81;FR
124.667;EUR;2.67;FR
124.689;EUR;2.67;FR
124.838;EUR;5.32;FR
124.849;EUR;5.32;FR
124.907;EUR;3.87;FR
124.953;EUR;3.87;FR
124.986;EUR;1.70;FR
125.001;EUR;1.70;FR
125.023;EUR;1.70;FR
125.067;EUR;215.37;FR
125.103;EUR;4.18;FR
125.114;EUR;3.96;FR
125.136;EUR;4.18;FR
125.169;EUR;1.84;FR
125.171;EUR;1.84;FR
125.182;EUR;1.84;FR
125.205;EUR;1.26;FR
125.216;EUR;1.26;FR
125.238;EUR;1.26;FR
125.249;EUR;1.26;FR
125.251;EUR;1.26;FR
125.262;EUR;20.59;FR
125.284;EUR;1.26;FR
125.411;EUR;33.07;FR
125.513;EUR;26.23;FR
125.524;EUR;9.53;FR
125.535;EUR;9.53;FR
125.557;EUR;8.98;FR
125.568;EUR;9.53;FR
125.579;EUR;6.10;FR
125.592;EUR;9.00;FR
125.648;EUR;7.97;FR
125.683;EUR;14.03;FR
125.694;EUR;9.42;FR
125.717;EUR;12.18;FR
125.728;EUR;4.45;FR
125.876;EUR;14.63;FR
125.887;EUR;3.84;FR
125.898;EUR;3.48;FR
125.901;EUR;3.91;FR
125.912;EUR;3.83;FR
125.923;EUR;10.09;FR
125.967;EUR;7.85;FR
126.243;EUR;3.79;FR
126.254;EUR;3.79;FR
126.276;EUR;7.15;FR
126.287;EUR;7.15;FR
126.301;EUR;25.60;FR
126.378;EUR;28.60;FR
126.391;EUR;10.19;FR
126.436;EUR;30.51;FR
126.549;EUR;80.17;FR
126.618;EUR;80.17;FR
126.629;EUR;13.38;FR
126.653;EUR;41.69;FR
126.686;EUR;3.52;FR
126.697;EUR;137.12;FR
126.711;EUR;13.11;FR
126.857;EUR;14.89;FR
126.868;EUR;14.51;FR
126.879;EUR;5.41;FR
126.881;EUR;4.54;FR
126.926;EUR;72.23;FR
126.937;EUR;49.03;FR
126.948;EUR;88.30;FR
126.994;EUR;2.16;FR
127.007;EUR;2.58;FR
127.029;EUR;1.86;FR
127.031;EUR;1.86;FR
127.053;EUR;1.95;FR
127.064;EUR;2.25;FR
127.155;EUR;2.25;FR
127.166;EUR;225.50;FR
127.188;EUR;151.34;FR
127.292;EUR;14.89;FR
127.304;EUR;8.27;FR
127.689;EUR;17.30;FR
128.227;EUR;7.40;FR
128.238;EUR;4.59;FR
128.249;EUR;9.87;FR
128.251;EUR;14.06;FR
128.262;EUR;31.76;FR
128.273;EUR;9.34;FR
128.284;EUR;25.59;FR
128.353;EUR;35.67;FR
128.364;EUR;12.65;FR
128.375;EUR;16.06;FR
128.386;EUR;12.65;FR
128.397;EUR;35.67;FR
128.488;EUR;0.87;FR
128.579;EUR;33.07;FR
128.604;EUR;10.71;FR
128.626;EUR;10.71;FR
128.648;EUR;10.71;FR
128.659;EUR;10.71;FR
128.898;EUR;1.18;FR
128.901;EUR;1.51;FR
128.912;EUR;2.38;FR
129.469;EUR;14.63;FR
129.722;EUR;85.70;FR
129.733;EUR;40.48;FR
129.766;EUR;111.45;FR
129.824;EUR;16.87;FR
129.835;EUR;16.87;FR
129.846;EUR;17.30;FR
129.857;EUR;16.87;FR
129.868;EUR;16.87;FR
129.879;EUR;16.87;FR
129.904;EUR;15.90;FR
129.983;EUR;5.90;FR
130.008;EUR;0.27;FR
130.021;EUR;0.27;FR
130.032;EUR;0.27;FR
130.043;EUR;0.27;FR
130.076;EUR;4.39;FR
130.087;EUR;4.39;FR
130.101;EUR;0.85;FR
130.123;EUR;0.95;FR
130.134;EUR;0.52;FR
130.145;EUR;0.95;FR
130.156;EUR;0.57;FR
130.189;EUR;0.57;FR
130.203;EUR;0.63;FR
130.214;EUR;0.63;FR
130.236;EUR;0.63;FR
130.282;EUR;2.42;FR
130.305;EUR;2.42;FR
130.316;EUR;2.42;FR
130.431;EUR;0.57;FR
130.442;EUR;0.57;FR
130.464;EUR;0.57;FR
130.566;EUR;0.67;FR
130.577;EUR;0.67;FR
130.599;EUR;0.67;FR
130.761;EUR;0.35;FR
130.772;EUR;0.35;FR
130.783;EUR;0.35;FR
130.806;EUR;1.23;FR
130.828;EUR;1.23;FR
130.841;EUR;1.23;FR
130.965;EUR;4.88;FR
131.274;EUR;6.58;FR
131.729;EUR;4.77;FR
132.197;EUR;5.37;FR
132.209;EUR;5.08;FR
132.302;EUR;4.04;FR
132.313;EUR;3.21;FR
132.324;EUR;4.04;FR
132.791;EUR;70.93;FR
132.825;EUR;66.57;FR
134.354;EUR;55.26;FR
134.387;EUR;35.40;FR
134.412;EUR;141.48;FR
134.434;EUR;88.61;FR
134.456;EUR;183.97;FR
134.467;EUR;54.72;FR
134.478;EUR;245.51;FR
134.718;EUR;57.10;FR
134.775;EUR;31.27;FR
134.786;EUR;31.27;FR
134.797;EUR;25.51;FR
134.866;EUR;16.18;FR
135.266;EUR;20.74;FR
135.302;EUR;5.33;FR
135.313;EUR;20.74;FR
135.324;EUR;5.33;FR
135.335;EUR;20.74;FR
135.346;EUR;20.74;FR
135.357;EUR;20.74;FR
135.379;EUR;5.39;FR
135.392;EUR;176.75;FR
135.404;EUR;189.99;FR
135.426;EUR;4.56;FR
135.437;EUR;4.00;FR
135.448;EUR;3.88;FR
135.494;EUR;4.06;FR
135.506;EUR;2.80;FR
135.517;EUR;3.89;FR
135.528;EUR;3.25;FR
135.539;EUR;2.91;FR
135.574;EUR;3.25;FR
135.596;EUR;3.25;FR
135.621;EUR;3.25;FR
135.643;EUR;1.75;FR
135.654;EUR;9.71;FR
135.665;EUR;9.71;FR
135.687;EUR;10.99;FR
135.778;EUR;1.96;FR
135.789;EUR;1.99;FR
135.814;EUR;91.20;FR
135.858;EUR;17.28;FR
135.882;EUR;36.00;FR
135.893;EUR;17.72;FR
135.905;EUR;17.65;FR
136.101;EUR;3.36;FR
136.145;EUR;3.36;FR
136.156;EUR;15.73;FR
136.191;EUR;6.86;FR
136.247;EUR;5.92;FR
136.269;EUR;4.99;FR
136.271;EUR;7.22;FR
136.305;EUR;2.21;FR
136.327;EUR;16.89;FR
136.338;EUR;17.81;FR
136.349;EUR;4.59;FR
136.533;EUR;16.82;FR
136.555;EUR;18.21;FR
136.566;EUR;17.81;FR
136.577;EUR;69.27;FR
136.635;EUR;97.18;FR
136.679;EUR;169.04;FR
136.681;EUR;232.39;FR
136.704;EUR;401.41;FR
136.817;EUR;191.49;FR
136.828;EUR;214.96;FR
137.627;EUR;72.95;FR
137.811;EUR;4.79;FR
137.833;EUR;62.23;FR
137.877;EUR;4.62;FR
137.946;EUR;68.42;FR
137.957;EUR;5.31;FR
137.968;EUR;2.81;FR
137.979;EUR;2.59;FR
137.981;EUR;22.05;FR
137.992;EUR;22.45;FR
138.095;EUR;3.96;FR
138.107;EUR;1.67;FR
138.118;EUR;3.96;FR
138.506;EUR;2.38;FR
138.517;EUR;4.90;FR
138.528;EUR;23.43;FR
138.632;EUR;19.40;FR
138.905;EUR;50.78;FR
138.951;EUR;38.15;FR
138.962;EUR;53.80;FR
139.065;EUR;3.88;FR
139.101;EUR;92.71;FR
139.112;EUR;92.71;FR
139.134;EUR;23.39;FR
139.156;EUR;16.63;FR
139.269;EUR;4.20;FR
139.271;EUR;5.15;FR
139.282;EUR;8.23;FR
139.293;EUR;8.96;FR
139.293;EUR;8.96;FR
139.418;EUR;1.78;FR
139.418;EUR;1.78;FR
139.453;EUR;7.58;FR
139.464;EUR;8.25;FR
139.522;EUR;9.28;FR
139.544;EUR;39.99;FR
139.555;EUR;27.49;FR
139.577;EUR;4.17;FR
139.577;EUR;4.48;FR
139.613;EUR;27.49;FR
139.624;EUR;39.99;FR
139.704;EUR;3.35;FR
139.715;EUR;5.39;FR
139.726;EUR;5.39;FR
139.737;EUR;3.35;FR
139.839;EUR;4.93;FR
139.839;EUR;4.93;FR
139.863;EUR;36.95;FR
139.954;EUR;61.99;FR
139.965;EUR;61.99;FR
139.976;EUR;13.49;FR
139.987;EUR;61.99;FR
139.998;EUR;48.95;FR
140.014;EUR;48.95;FR
140.025;EUR;48.95;FR
140.093;EUR;43.99;FR
140.116;EUR;229.99;FR
140.127;EUR;214.68;FR
140.515;EUR;6.00;FR
140.594;EUR;137.91;FR
140.606;EUR;296.19;FR
140.721;EUR;52.48;FR
140.732;EUR;389.02;FR
140.743;EUR;44.00;FR
140.754;EUR;199.99;FR
140.834;EUR;49.33;FR
140.891;EUR;42.29;FR
140.903;EUR;191.99;FR
140.914;EUR;26.23;FR
141.119;EUR;146.47;FR
141.132;EUR;214.03;FR
141.325;EUR;147.30;FR
141.518;EUR;5.99;FR
141.531;EUR;44.80;FR
141.666;EUR;119.88;FR
141.815;EUR;3.73;FR
141.963;EUR;4.09;FR
141.974;EUR;19.96;FR
142.022;EUR;5.90;FR
142.033;EUR;83.49;FR
142.044;EUR;11.88;FR
142.055;EUR;13.79;FR
142.066;EUR;26.61;FR
142.077;EUR;30.02;FR
142.088;EUR;41.68;FR
142.099;EUR;46.72;FR
142.102;EUR;53.35;FR
142.113;EUR;104.98;FR
142.181;EUR;2.08;FR
142.328;EUR;4.09;FR
142.339;EUR;2.08;FR
142.374;EUR;6.87;FR
142.396;EUR;1.65;FR
142.443;EUR;339.99;FR
142.454;EUR;451.90;FR
142.465;EUR;153.91;FR
142.476;EUR;176.33;FR
142.487;EUR;176.33;FR
142.501;EUR;176.33;FR
142.567;EUR;106.60;FR
142.591;EUR;125.02;FR
142.716;EUR;6.87;FR
142.886;EUR;33.49;FR
142.909;EUR;124.55;FR
143.003;EUR;22.13;FR
143.014;EUR;22.13;FR
143.025;EUR;22.13;FR
143.036;EUR;22.13;FR
143.127;EUR;55.77;FR
143.138;EUR;26.79;FR
143.151;EUR;35.20;FR
143.162;EUR;35.20;FR
143.242;EUR;55.77;FR
143.253;EUR;55.77;FR
143.264;EUR;55.77;FR
143.275;EUR;72.77;FR
143.286;EUR;68.75;FR
143.297;EUR;8.37;FR
143.333;EUR;35.20;FR
143.344;EUR;35.20;FR
143.355;EUR;35.20;FR
143.388;EUR;45.54;FR
143.413;EUR;72.77;FR
143.435;EUR;48.47;FR
143.515;EUR;7.57;FR
143.628;EUR;12.46;FR
143.641;EUR;69.91;FR
143.663;EUR;6.96;FR
143.708;EUR;135.15;FR
143.765;EUR;3.06;FR
143.776;EUR;5.11;FR
143.787;EUR;5.10;FR
143.903;EUR;55.14;FR
143.925;EUR;110.28;FR
143.982;EUR;10.41;FR
144.245;EUR;5.29;FR
144.303;EUR;90.28;FR
144.314;EUR;75.85;FR
144.358;EUR;7.20;FR
144.405;EUR;1.19;FR
144.405;EUR;1.19;FR
144.449;EUR;1.58;FR
144.449;EUR;1.58;FR
144.473;EUR;41.11;FR
144.484;EUR;26.60;FR
144.699;EUR;171.11;FR
144.781;EUR;1.20;FR
144.861;EUR;35.20;FR
144.883;EUR;1.55;FR
144.894;EUR;10.99;FR
144.941;EUR;10.99;FR
144.952;EUR;66.59;FR
144.963;EUR;27.60;FR
144.985;EUR;66.66;FR
145.009;EUR;9.35;FR
145.022;EUR;27.60;FR
145.102;EUR;1.92;FR
145.168;EUR;1.92;FR
145.192;EUR;30.04;FR
145.204;EUR;14.56;FR
145.215;EUR;41.08;FR
145.294;EUR;17.66;FR
145.306;EUR;3.15;FR
145.328;EUR;3.77;FR
145.363;EUR;15.22;FR
145.396;EUR;29.55;FR
145.625;EUR;6.21;FR
145.636;EUR;14.54;FR
145.647;EUR;63.83;FR
145.658;EUR;63.83;FR
145.671;EUR;63.03;FR
145.682;EUR;3.73;FR
145.693;EUR;16.13;FR
145.716;EUR;473.01;FR
145.738;EUR;702.39;FR
145.853;EUR;38.30;FR
145.875;EUR;230.96;FR
146.138;EUR;1.67;FR
146.207;EUR;3.00;FR
146.218;EUR;3.96;FR
146.229;EUR;2.45;FR
146.231;EUR;3.96;FR
146.242;EUR;2.76;FR
146.322;EUR;48.99;FR
146.333;EUR;31.39;FR
146.468;EUR;2.69;FR
146.479;EUR;16.60;FR
146.492;EUR;4.90;FR
146.504;EUR;4.67;FR
146.754;EUR;7.01;FR
146.798;EUR;13.55;FR
146.936;EUR;7.99;FR
146.947;EUR;5.70;FR
146.982;EUR;8.99;FR
147.108;EUR;3.02;FR
147.121;EUR;3.02;FR
147.143;EUR;3.02;FR
147.212;EUR;11.16;FR
147.223;EUR;1.89;FR
147.234;EUR;1.89;FR
147.267;EUR;1.89;FR
147.314;EUR;28.56;FR
147.325;EUR;8.44;FR
147.336;EUR;8.44;FR
147.451;EUR;4.38;FR
147.473;EUR;2.04;FR
147.484;EUR;8.44;FR
147.495;EUR;3.99;FR
147.531;EUR;10.28;FR
147.542;EUR;343.14;FR
147.575;EUR;8.48;FR
147.622;EUR;2.54;FR
147.633;EUR;2.39;FR
147.644;EUR;2.54;FR
147.655;EUR;8.48;FR
147.699;EUR;2.54;FR
147.702;EUR;2.54;FR
147.713;EUR;2.54;FR
147.724;EUR;2.86;FR
147.781;EUR;2.45;FR
147.837;EUR;5.99;FR
147.848;EUR;5.99;FR
147.952;EUR;3.24;FR
147.974;EUR;2.68;FR
147.985;EUR;5.73;FR
148.011;EUR;4.65;FR
148.022;EUR;5.31;FR
148.033;EUR;7.05;FR
148.055;EUR;5.73;FR
148.113;EUR;2.47;FR
148.124;EUR;2.33;FR
148.135;EUR;2.47;FR
148.146;EUR;3.84;FR
148.157;EUR;3.84;FR
148.272;EUR;38.33;FR
148.317;EUR;2.08;FR
148.328;EUR;2.08;FR
148.328;EUR;1.78;FR
148.341;EUR;2.08;FR
148.476;EUR;4.05;FR
148.487;EUR;3.72;FR
148.498;EUR;3.72;FR
148.501;EUR;19.78;FR
148.658;EUR;0.93;FR
148.671;EUR;0.93;FR
148.705;EUR;3.40;FR
148.716;EUR;3.40;FR
148.727;EUR;3.22;FR
148.738;EUR;3.40;FR
149.003;EUR;2.62;FR
149.025;EUR;2.48;FR
149.047;EUR;2.48;FR
149.184;EUR;19.77;FR
149.207;EUR;8.45;FR
149.218;EUR;2.62;FR
149.229;EUR;2.62;FR
149.231;EUR;2.62;FR
149.242;EUR;1.97;FR
149.322;EUR;2.34;FR
149.333;EUR;11.30;FR
149.344;EUR;1.97;FR
149.355;EUR;2.62;FR
149.366;EUR;2.52;FR
149.377;EUR;2.62;FR
149.388;EUR;15.20;FR
149.435;EUR;17.47;FR
149.969;EUR;9.74;FR
150.029;EUR;0.49;FR
150.031;EUR;0.49;FR
150.042;EUR;0.49;FR
150.064;EUR;2.91;FR
150.075;EUR;2.91;FR
150.086;EUR;2.91;FR
150.109;EUR;0.49;FR
150.111;EUR;0.49;FR
150.122;EUR;0.49;FR
150.133;EUR;0.49;FR
150.224;EUR;5.17;FR
150.508;EUR;2.47;FR
150.519;EUR;2.47;FR
150.521;EUR;3.64;FR
150.598;EUR;1.63;FR
150.601;EUR;0.97;FR
150.634;EUR;0.97;FR
150.816;EUR;1.04;FR
150.827;EUR;0.97;FR
150.931;EUR;1.04;FR
150.942;EUR;0.97;FR
150.953;EUR;8.36;FR
150.964;EUR;1.65;FR
151.012;EUR;1.65;FR
151.034;EUR;1.65;FR
151.103;EUR;2.22;FR
151.114;EUR;2.03;FR
151.125;EUR;2.22;FR
151.136;EUR;2.22;FR
151.147;EUR;7.93;FR
151.158;EUR;2.22;FR
151.169;EUR;2.22;FR
151.171;EUR;2.22;FR
151.193;EUR;2.03;FR
151.205;EUR;8.42;FR
151.342;EUR;35.20;FR
151.353;EUR;35.20;FR
151.397;EUR;35.20;FR
151.409;EUR;35.20;FR
151.433;EUR;10.47;FR
151.444;EUR;41.05;FR
151.455;EUR;41.05;FR
151.466;EUR;38.26;FR
151.819;EUR;9.36;FR
151.978;EUR;5.40;FR
152.015;EUR;7.99;FR
152.026;EUR;22.33;FR
152.037;EUR;8.55;FR
152.048;EUR;6.80;FR
152.072;EUR;14.33;FR
152.128;EUR;84.42;FR
152.152;EUR;3.02;FR
152.163;EUR;3.02;FR
152.174;EUR;3.02;FR
152.232;EUR;1.32;FR
152.243;EUR;1.32;FR
152.254;EUR;1.32;FR
152.265;EUR;1.32;FR
152.378;EUR;3.76;FR
152.378;EUR;3.76;FR
152.389;EUR;5.21;FR
152.389;EUR;5.21;FR
152.391;EUR;4.61;FR
152.391;EUR;4.61;FR
152.414;EUR;6.08;FR
152.414;EUR;6.08;FR
152.493;EUR;43.79;FR
152.505;EUR;62.99;FR
152.744;EUR;68.29;FR
153.703;EUR;472.48;FR
154.205;EUR;81.71;FR
154.227;EUR;26.75;FR
154.295;EUR;74.50;FR
154.821;EUR;26.04;FR
155.527;EUR;8.03;FR
155.538;EUR;12.75;FR
155.551;EUR;9.69;FR
155.551;EUR;9.69;FR
155.595;EUR;12.75;FR
155.653;EUR;10.85;FR
155.686;EUR;10.85;FR
155.744;EUR;10.85;FR
155.846;EUR;8.46;FR
155.857;EUR;21.28;FR
155.879;EUR;9.69;FR
156.496;EUR;48.77;FR
156.508;EUR;36.55;FR
157.227;EUR;11.64;FR
157.763;EUR;11.15;FR
157.796;EUR;14.21;FR
157.956;EUR;5.31;FR
157.956;EUR;5.31;FR
158.595;EUR;3.44;FR
159.337;EUR;26.63;FR
159.337;EUR;26.63;FR
159.337;EUR;26.63;FR
159.348;EUR;118.88;FR
159.474;EUR;6.80;FR
159.543;EUR;12.36;FR
159.612;EUR;157.14;FR
159.634;EUR;10.85;FR
159.645;EUR;10.85;FR
159.667;EUR;10.85;FR
159.689;EUR;10.85;FR
159.873;EUR;12.75;FR
159.884;EUR;12.75;FR
159.895;EUR;9.69;FR
160.024;EUR;27.99;FR
160.035;EUR;65.79;FR
160.137;EUR;10.14;FR
160.148;EUR;12.72;FR
160.159;EUR;16.90;FR
160.365;EUR;76.70;FR
160.376;EUR;16.42;FR
160.387;EUR;37.99;FR
